Bandwidth,Signal,RTT,Lost_Rate,Throughput1,Framerate
11120606,-75.62,29,0.9868,545.18,29.9698
12201395,-73.7,23,4.2763,545.18,19.2474
12682592,-73,18,2.8658,561.22,29.8451
9990342,-75.22,30,3.5273,615.53,29.8439
10039496,-74.49,29,0,681.48,29.963
3120285,-75.44,38,27.8208,465.4,6.3893
10350584,-73.95,26,2.0374,502.14,29.8441
51973789,-60.43,7,1.6556,1330,29.9691
48164441,-63.47,7,1.4827,867.34,29.7212
51840739,-58.12,7,2.443,867.34,29.7173
6285226,-78.74,38,1.2891,293.56,29.9612
6017311,-79.09,48,0.6568,227.16,29.9642
1225650,-80.71,105,52.317,73.11,2.9303
2010958,-80.07,92,25.3853,73.11,3.0544
1932375,-79.86,68,53.5831,73.11,8.3867
4559012,-79.45,46,2.6087,64.46,10.852
4723627,-79.06,44,4.1534,86.73,5.4216
1746809,-79.88,81,27.1856,114.95,2.9216
1082191,-80.48,170,57.9235,238.52,2.4934
17145671,-77.43,13,7.2968,443.75,29.9684
14575292,-74.55,19,5.3055,681.48,29.9365
52016148,-52.63,5,0.6494,1160,29.9685
51958724,-50.46,5,0.3241,1240,29.8453
7118092,-77.14,23,2.7875,454.32,29.9633
5839795,-75.07,30,8.6799,578.23,19.3759
17158110,-70.68,8,0.1623,1100,29.9686
18379009,-67.1,7,0.4878,1100,29.9516
21337560,-69.55,7,1.8809,1040,29.9231
17804154,-72.6,7,0.3247,1100,29.9545
32658097,-68.36,6,0.1567,1160,29.9366
51237300,-47.75,6,2.6646,908.64,29.9205
50945744,-32.06,5,0.1567,1240,29.9377
51986406,-37.04,6,0.1567,1330,29.9698
51836964,-35.65,6,0,1330,29.8284
36965224,-59.84,5,0.3135,1100,29.5529
21238689,-56.22,6,0.1567,1160,29.8453
25663200,-62.14,5,0.4702,1160,29.9476
5605338,-78.43,43,0.3643,381.63,29.9673
4503873,-79.41,46,12.5424,489.27,18.7935
7022970,-77.68,39,1.5,360.03,29.9653
3861643,-78.94,39,7.363,298.15,2.8439
9190585,-76.02,26,0.726,561.22,29.9557
13025842,-73.94,19,0.8197,1100,29.9697
11044262,-75.43,25,0.6557,545.18,29.9631
14626565,-74.26,21,3.681,545.18,29.9697
10453312,-74.28,26,0.726,561.22,29.9684
9549184,-74.48,30,6.3356,615.53,29.8459
11697186,-73.03,25,4.9536,73.11,17.8058
11267386,-74.72,24,0.821,681.48,29.8437
