Spot,Mag,Potas,Thor,Uran
76,67,83,55,44
83,67,92,56,50
79,68,81,60,45
69,68,97,58,52
69,68,102,56,56
66,68,115,57,63
108,69,69,58,39
64,69,74,58,43
88,69,90,59,49
132,69,115,62,57
107,69,115,59,60
93,69,139,63,65
248,69,134,60,69
217,69,129,60,69
100,69,150,62,70
156,69,148,59,73
253,69,139,58,75
81,69,159,60,74
90,69,153,57,77
64,69,148,57,79
142,69,169,57,77
141,69,162,55,80
175,69,155,55,80
175,69,180,56,82
154,69,173,54,85
190,69,166,53,84
57,69,185,56,87
122,69,178,55,87
69,70,78,53,41
112,70,60,56,36
124,70,74,56,40
74,70,92,61,47
105,70,115,65,53
66,70,148,72,59
59,70,141,67,62
134,70,162,69,64
105,70,155,66,66
170,70,171,66,68
113,70,164,63,70
90,70,180,68,75
141,70,178,64,73
88,70,173,60,74
76,70,185,68,80
146,70,183,63,78
153,70,183,58,79
30,70,197,67,86
141,70,194,62,82
168,70,190,59,83
200,70,187,56,86
59,70,197,59,89
54,70,194,58,89
147,70,192,58,89
181,70,190,57,89
215,70,183,57,88
95,71,57,53,33
108,71,62,57,35
62,71,74,48,33
88,71,62,51,34
130,71,102,51,39
91,71,85,52,40
74,71,118,57,45
115,71,102,59,46
79,71,141,65,53
88,71,122,66,52
59,71,166,72,61
115,71,178,71,65
204,71,180,70,71
68,71,190,70,80
255,71,192,72,84
255,71,204,71,89
44,71,206,67,90
40,71,213,65,94
130,71,197,60,91
130,71,197,59,91
93,71,192,59,91
103,71,192,58,91
168,71,187,59,89
85,72,67,45,31
105,72,57,48,31
144,72,85,46,33
79,72,111,50,41
47,72,136,56,48
136,72,199,63,59
78,72,169,63,56
71,72,243,69,67
40,72,201,69,65
100,72,255,69,72
83,72,210,70,69
193,72,245,70,78
183,72,206,70,74
64,72,217,70,83
158,72,206,71,89
69,72,224,68,100
215,72,213,70,93
0,72,243,68,106
54,72,227,70,98
76,72,217,69,94
8,72,231,67,100
52,72,213,63,99
42,72,197,61,91
110,72,197,60,91
95,73,78,44,31
79,73,95,45,35
90,73,120,50,45
85,73,171,60,56
73,73,153,56,52
159,73,227,65,63
25,73,255,70,70
95,73,255,72,87
91,73,255,73,76
224,73,255,70,90
151,73,255,69,82
105,73,255,70,107
171,73,255,69,97
32,73,243,69,89
57,73,255,68,112
76,73,245,68,103
22,73,224,69,95
181,73,255,69,114
15,73,243,66,107
134,73,255,70,116
105,73,255,66,114
139,73,255,67,123
136,73,255,66,119
163,73,255,66,111
22,73,248,67,104
129,73,255,64,117
171,73,255,64,110
20,73,243,64,105
176,73,194,60,91
112,73,194,58,92
76,74,69,45,36
110,74,57,48,35
74,74,60,52,36
71,74,64,54,37
93,74,85,48,37
79,74,88,45,35
93,74,90,44,32
129,74,99,49,41
144,74,97,45,39
100,74,127,54,48
71,74,190,65,59
105,74,243,69,68
40,74,255,73,77
20,74,255,76,98
136,74,255,72,101
8,74,255,72,114
171,74,255,75,119
59,74,255,72,116
193,74,255,75,118
222,74,255,72,118
144,74,255,76,120
100,74,255,70,120
205,74,255,70,123
159,74,255,67,129
164,74,255,65,125
125,74,187,60,91
168,74,248,62,111
96,74,220,62,102
42,74,201,62,92
45,75,81,49,37
98,75,81,49,37
95,75,85,45,35
66,75,83,44,35
134,75,78,43,35
108,75,88,52,39
136,75,106,54,43
108,75,148,62,53
18,75,141,60,52
85,75,192,68,64
158,75,243,72,74
27,75,255,76,87
42,75,255,79,109
6,75,255,75,111
0,75,255,76,120
180,75,255,78,122
180,75,255,76,121
168,75,255,77,122
197,75,255,74,125
190,75,255,70,131
219,75,255,63,130
217,75,255,63,122
176,75,255,62,116
108,75,199,62,94
146,75,204,62,92
69,76,78,51,42
56,76,148,59,54
130,76,115,57,41
76,76,95,55,38
39,76,171,65,62
23,76,134,61,49
100,76,113,57,45
108,76,201,70,73
98,76,162,67,60
166,76,201,71,71
115,76,252,75,83
105,76,255,80,104
62,76,255,78,97
120,76,255,81,116
112,76,255,83,124
6,76,255,79,121
170,76,255,79,123
188,76,255,79,122
178,76,255,78,123
